"# of Use","Använt antal"
"You cannot edit this attribute","Du kan inte ändra på detta attribut"
"You cannot remove system attribute from this set.","Du kan inte ta bort systemattribut från denna mängd."
"You cannot update this attribute","Du kan inte uppdatera detta attribut"
"You have no items to compare.","Du har inga artiklar att jämföra."
"You may also be interested in the following product(s)","Du kanske även är intresserad av ...?"
"Zoom In","Zooma in"
"Zoom Out","Zooma ut"
"[GLOBAL]","[GLOBAL]"
" and above","och ovan"
"and","och"
"cache refresh needed","cache refresh needed"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","t.ex. http://example.com"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","per sida"
"products","products"
"px.","px."
"save","save"
"select all","välj alla"
"unselect all","välj bort alla"
"x","x"
