"%s already exist","%s finns redan"
"%s already exists","%s finns redan"
"-- Please Select --","-- Vänligen välj --"
"Enabled for Frontend","Aktiverad för kunddelen"
"Enabled","Aktiverad"
"Error in file: ""%s"" - %s","Det uppstod ett fel i filen: ""%s"" - %s"
"Error while saving. Please try again later.","Ett fel uppstod vid sparning. Vänligen försök igen senare."
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Forgot Password Email Sender","Avsändare i e-post för glömda lösenord"
"Forgot Password Email Template","E-postmall för utskick av glömda lösenord"
"General Settings","Allmänna inställningar"
"General contact","Allmän kontakt"
"General","Allmänt"
"Global","Global"
"Go","Go"
"HTML Head","HTML Head"
"Header","Header"
"Host","Värd"
"Id path for specified store","ID-sökväg för angiven butik"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Ogiltig typ för bas-URL"
"Invalid block name to set child %s: %s","Ogiltigt blocknamn för mängds barn %s: %s"
"Invalid block type: %s","Ogiltigt blocknamn: %s"
"Invalid block: %s","Ogiltigt block: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Ogiltigt argument för layoutuppdatering har angivits. Förväntade Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Ogiltig hanterare för layoutuppdatering"
"Invalid messages storage ""%s"" for layout messages initialization","Ogiltig lagring av meddelanden ""%s"" för initiering av layoutmeddelanden"
"Invalid transactional email code: ","Ogiltig transaktionell e-postkod:"
"Invalid websites configuration path: %s","Ogiltig konfigurationssökväg för webbplatser: %s"
"Layout","Layout"
"Layouts","Layouts"
"Leave empty for access from any location","Lämnas tomt om åtkomst ska ske från överallt"
"Locale options","Språkinställningar"
"Locale","Språk"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","Hantera butiker"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Modellklassen finns inte: %s"
"Model collection resource name is not defined","Resursnamnet för modellsamlingen har inte angivits"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Namn"
"New Design Change","Ny designändring"
"New Store View","Ny butiksvy"
"New Store","Ny butik"
"New Website","Ny webbplats"
"No","No"
"Package","Paket"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Vänligen ange 6 eller fler tecken. Eventuella mellanslag i början eller i slutet kommer att tas bort."
"Please enter 6 or more characters.","Vänligen ange 6 eller fler tecken."
"Please enter a number greater than 0 in this field.","Vänligen ange ett tal som är större än 0 i detta fält."
"Please enter a valid $ amount. For example $100.00.","Vänligen ange ett giltigt belopp. Exempelvis 100."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vänligen ange en giltig URL, exempelvis http://www.example.com eller www.example.com"
"Please enter a valid URL. http:// is required","Vänligen ange en giltig URL. http:// måste finnas med"
"Please enter a valid credit card number.","Vänligen ange ett giltigt bankkortsnummer."
"Please enter a valid date.","Vänligen ange ett giltigt datum."
"Please enter a valid email address. For example johndoe@domain.com.","Vänligen ange en giltig e-postadress, exempelvis namn@example.com."
"Please enter a valid number in this field.","Vänligen ange ett giltigt nummer i detta fält."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vänligen ange ett giltigt telefonnummer, exempelvis 08-123 456."
"Please enter a valid social security number. For example 123-45-6789.","Vänligen ange ett giltigt personnummer, exempelvis 010101-0106."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Vänligen ange ett giltigt postnummer, exempelvis 111 52 eller 231 78."
"Please enter a valid zip code.","Vänligen ange ett giltigt postnummer."
"Please enter valid password.","Vänligen ange lösenord."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Vänligen se till att dina lösenord överensstämmer."
"Please select State/Province.","Vänligen välj region."
"Please select an option.","Vänligen välj ett alternativ."
"Please select one of the above options.","Vänligen välj ett av alternativen ovan."
"Please select one of the options.","Vänligen välj ett av alternativen."
"Please specify payment method.","Ange betalningssätt."
"Please specify shipping method.","Ange leveranssätt."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Vänligen använd endast bokstäver (a-ö) i detta fält."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Vänligen använd endast nummer i detta fält. Vänligen använd inte mellanslag eller andra liknande tecken, exempelvis punkt eller komma."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Vänligen använd endast bokstäver (a-ö) eller siffror (0-9) i detta fält. Mellanslag eller andra tecken är inte tillåtna."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Vänligen använd endast bokstäver (a-ö), siffror (0-9), mellanslag eller # (brädgård) i detta fält."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Vänligen använd endast bokstäver (a-ö), siffror (0-9) eller understreck i detta fält. Första tecknet bör vara en bokstav."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Vänligen ange datum enligt formatet: dd/mm/åååå. Exempelvis 17/03/2006 för den 17:e mars, 2006."
"Please wait, loading...","Vänligen vänta, laddar..."
"Polls","Polls"
"Port (25)","Port (25)"
"Profiler","Profilerare"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Sökväg för begäran för angiven butik"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Resursen har inte angivits"
"Root Category","Rotkategori"
"SMTP settings (Windows server only)","SMTP-inställningar (endast för Windows server)"
"Sales representative","Säljrepresentant"
"Save Store View","Spara butiksvy"
"Save Store","Spara butik"
"Save Website","Spara webbplats"
"Save","Spara"
"Search Engines Optimization","Sökmotoroptimering"
"Search entire store here...","Search entire store here..."
"Search entire store here...","Search entire store here..."
"Search","Search"
"Secure","Säkert"
"Security","Security"
"Select Date","Select Date"
"Sender email","Avsändarens e-post"
"Sender name","Användarens namn"
"Services","Tjänster"
"Session Cookie management","Hantera sessionskakor"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","Välj som förvalt"
"Skin (Images / CSS)","Tema (bilder / CSS)"
"Sort order","Sortering"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Startdatumet kan inte inträffa senare än slutdatumet"
"Startup page","Startup page"
"Status","Status"
"Store Email Addresses","E-postadresser för butik"
"Store Information","Information om butik"
"Store Name","Butiksnamn"
"Store View Information","Information om butiksvy"
"Store View Name","Butiksvyns namn"
"Store View was successfully saved","Butiksvyn har sparats"
"Store View","Store View"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Butikskoden bör endast innehålla bokstäver (a-ö), siffror (0-9) eller understreck (_). Första tecknet bör vara en bokstav"
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","Butiken har tagits bort."
"Store was successfully saved","Butiken har sparats"
"Store with the same code","Butik med samma kod"
"Store","Butik"
"System Log File Name","System Log File Name"
"System","System"
"Template Path Hints","Ledtrådar för mallsökväg"
"Templates","Mallar"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Teman"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","Endast denna kategori"
"This is a required field.","Detta är ett obligatoriskt fält."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Tidszon"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Översättningar"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Det går inte att gå vidare. Vänligen försök igen senare."
"Unknown scope ""%s""","Okänt omfång ""%s"""
"Unsecure","Osäker"
"Url Options","URL-inställningar"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","Använd säkra URL:er i admin"
"Use Secure URLs in Frontend","Använd säkra URL:er i kunddelen"
"Use Web Server Rewrites","Använd omskrivningar tillhandahållna av webbservern"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Webb"
"Website Information","Information om webbplats"
"Website Name","Webbplatsens namn"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Koden för webbplatsen bör endast innehålla bokstäver (a-ö), siffror (0-9) eller understreck (_). Första tecknet bör vara en bokstav"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","Webbplatsen har tagits bort"
"Website was successfully saved","Webbplatsen har sparats"
"Website with the same code","Webbplats med samma kod"
"Website","Webbplats"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","Fel antal argument till %s"
"Yes","Yes"
"You have no items to compare.","You have no items to compare."
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Din session har gått ut, du kommer att loggas in på nytt."
